id,price,sqft_living,bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long
1,430000,1340,3,1,1,0,0,3,7,1340,0,1955,0,98178,47.5112,-122.257
2,539000,1690,3,2,2,0,0,3,7,1690,0,1970,0,98125,47.7210,-122.319
3,550000,2720,4,3,1,0,0,5,8,2720,0,1990,0,98028,47.7379,-122.233
4,375000,1180,2,1,1,0,0,3,6,1180,0,1940,0,98074,47.5992,-122.128
5,468000,2570,4,3,2,0,0,4,8,2170,400,2002,0,98052,47.6185,-122.203
6,620000,1820,3,2,2,0,0,4,9,1820,0,2003,0,98004,47.6215,-122.321
7,425000,1560,3,2,1,0,0,3,7,1560,0,1960,0,98103,47.6488,-122.356
8,530000,1890,3,2,2,0,0,4,7,1890,0,1999,0,98030,47.4422,-122.322
9,615000,2330,4,3,2,0,0,5,9,2330,0,2010,0,98007,47.6127,-122.203
10,295000,940,2,1,1,0,0,3,6,940,0,1949,0,98115,47.7029,-122.327
